20,4,5
6,1,15
13,5,13
13,2,13
12,7,6
12,9,8
12,5,15
3,6,1
12,6,8
13,10,1
6,5,9
19,8,12
20,5,1
16,8,15
11,3,12
11,6,1
5,9,13
11,7,1
10,10,2
20,5,1
12,6,12
11,4,9
7,6,3
20,5,2
11,9,4
10,4,8
19,3,10
20,8,2
9,4,10
6,9,15
19,7,15
4,1,6
15,7,6
3,1,4
11,5,11
9,1,15
12,7,7
8,9,3
8,8,3
13,4,15
5,8,4
16,7,3
2,7,8
6,7,6
10,1,2
8,8,8
5,1,5
16,10,3
7,2,11
19,8,15
11,9,7
9,4,15
9,8,11
10,4,8
10,8,9
6,5,15
18,4,2
5,1,4
5,6,5
5,3,14
18,9,10
1,10,12
16,8,13
13,10,10
9,4,1
5,2,7
12,8,15
13,2,5
4,10,13
12,8,14
4,10,14
14,7,9
4,9,1
16,6,12
9,10,7
4,9,14
5,2,12
2,3,5
3,4,6
18,2,13
10,1,2
6,4,6
11,9,3
20,3,14
8,6,14
3,7,7
18,6,10
10,4,6
1,8,15
5,7,13
16,2,6
19,10,3
18,10,6
3,9,1
8,2,6
2,4,14
12,10,7
18,5,7
20,2,8
11,1,12
